feature,feature_chinese_names,NC-mean,NC-std,NC-range,AD-mean,AD-std,AD-range
SFG_L_7_1,左侧额上回_7_1,2201.468,308.2005,1893.2673-2509.6682,2075.028,328.9124,1746.1155-2403.9402
SFG_R_7_1,右侧额上回_7_1,2816.049,374.6208,2441.4282-3190.6699,2659.529,394.7021,2264.8271-3054.2314
SFG_L_7_2,左侧额上回_7_2,2219.641,296.8989,1922.7424-2516.5403,2071.131,320.8372,1750.2942-2391.9685
SFG_R_7_2,右侧额上回_7_2,2055.306,286.5394,1768.7667-2341.8457,1901.384,322.7255,1578.6583-2224.1094
SFG_L_7_3,左侧额上回_7_3,2234.948,256.3893,1978.5583-2491.3372,2129.546,260.4398,1869.1066-2389.9861
SFG_R_7_3,右侧额上回_7_3,2694.992,330.8386,2364.1533-3025.8306,2583.207,349.9375,2233.269-2933.144
SFG_L_7_4,左侧额上回_7_4,1713.439,253.7204,1459.7183-1967.1592,1627.224,290.1496,1337.075-1917.374
SFG_R_7_4,右侧额上回_7_4,1818.024,281.5807,1536.4435-2099.6047,1713.786,314.1892,1399.5973-2027.9757
SFG_L_7_5,左侧额上回_7_5,2249.891,312.4239,1937.4675-2562.3152,2112.492,345.3875,1767.1045-2457.8794
SFG_R_7_5,右侧额上回_7_5,2116.543,307.7925,1808.7502-2424.3352,1979.153,345.0027,1634.1508-2324.1562
SFG_L_7_6,左侧额上回_7_6,2014.696,262.1651,1752.5312-2276.8613,1874.146,257.2015,1616.9447-2131.3477
SFG_R_7_6,右侧额上回_7_6,2769.86,396.3967,2373.4629-3166.2563,2584.928,390.0161,2194.9124-2974.9446
SFG_L_7_7,左侧额上回_7_7,3173.828,369.1625,2804.6655-3542.9907,2981.866,398.7337,2583.1321-3380.5994
SFG_R_7_7,右侧额上回_7_7,2937.222,367.3746,2569.8479-3304.5969,2788.575,399.0695,2389.5051-3187.6443
MFG_L_7_1,左侧额中回_7_1,2949.257,397.2253,2552.0312-3346.4819,2718.554,404.3983,2314.1555-3122.9519
MFG_R_7_1,右侧额中回_7_1,2867.442,385.2585,2482.1833-3252.7004,2634.492,416.7614,2217.7302-3051.2532
MFG_L_7_2,左侧额中回_7_2,1972.306,286.0905,1686.2156-2258.3965,1788.933,288.2729,1500.6597-2077.2056
MFG_R_7_2,右侧额中回_7_2,1622.07,267.726,1354.344-1889.7959,1467.737,265.0792,1202.658-1732.8164
MFG_L_7_3,左侧额中回_7_3,2249.711,296.7693,1952.9421-2546.4807,2076.272,320.4213,1755.8507-2396.6934
MFG_R_7_3,右侧额中回_7_3,3023.491,367.1265,2656.3643-3390.6172,2816.411,400.9504,2415.4604-3217.3613
MFG_L_7_4,左侧额中回_7_4,2627.747,381.074,2246.6726-3008.8206,2433.844,414.4377,2019.4058-2848.2812
MFG_R_7_4,右侧额中回_7_4,2954.502,409.219,2545.2827-3363.7207,2752.772,417.5061,2335.2659-3170.2781
MFG_L_7_5,左侧额中回_7_5,2715.884,383.203,2332.6809-3099.0872,2474.892,411.0714,2063.821-2885.9636
MFG_R_7_5,右侧额中回_7_5,2505.533,398.4555,2107.0774-2903.9885,2364.797,386.4925,1978.3047-2751.2896
MFG_L_7_6,左侧额中回_7_6,1631.232,235.7228,1395.5093-1866.9548,1498.008,279.4009,1218.6072-1777.4092
MFG_R_7_6,右侧额中回_7_6,1704.69,267.652,1437.0381-1972.342,1598.008,293.046,1304.9617-1891.0537
MFG_L_7_7,左侧额中回_7_7,2403.98,298.884,2105.0964-2702.8645,2250.247,312.9561,1937.2908-2563.2029
